CO2;Flow;Rcapture;RCO2;Qreb;Treb;Wpumps;Wcfg;Wc1;Wc2;Wc3;Wrefr1;Wrefr2;Wrecomp;Makeup;Habs;Dabs;Qwash;Tinwash;Toutwash;Qtoabs;Tintoabs;Touttoabs;Qstrip;Tinstrip;Toutstrip;Qlean;Tinlean;Toutlean;Qint2;Tinint2;Toutint2;Qint1;Tinint1;Toutint1;Qdcc;Tindcc;Toutdcc;Qdhx;Tindhx;Toutdhx;Qdry;Tindry;Toutdry;Qdum;Tindum;Toutdum;Qliq;COP;Qrcond;Tinrcond;Toutrcond;Qrint;Tinrint;Toutrint;Qpreliq;Tinpreliq;Toutpreliq
16;170;94;0,939357468;133853,349;121,073518;146,0308365;3631,6621;2628,18827;2449,52862;2209,45617;2701,90009;2164,44566;122,266456;0,054601258;25;10,5929102;-1102,81385;331,9235144;303,15;-29069,1343;423,15;294,15;-25974,8643;366,4758274;303,15;-26972,0843;323,2602516;313,15;-2599,37211;367,4493931;293,15;-3646,59157;378,5912427;293,15;-7236,48382;293,15;283,15;-14937,6759;323,5072379;303,15;-31781,7215;331,6443878;313,15;-6498,52314;459,3580133;423,15;-12487,3202;2,566056923;-15460,8521;376,9693477;303,6846362;-1649,49543;354,9594962;293,15;-2836,51907;358,8174714;293,15
16;170;90;0,900993425;124726,869;121,110623;139,1840186;3631,6621;2520,94969;2349,57892;2119,30299;2591,52251;2076,02407;117,363038;0,06149223;23;10,4994458;-1201,11711;334,4077055;303,15;-29069,1343;423,15;294,15;-23551,86;365,5203719;303,15;-22391,4634;322,224972;313,15;-2493,31042;367,4492731;293,15;-3497,80966;378,5911134;293,15;-7236,48382;293,15;283,15;-14937,6759;323,5072379;303,15;-39398,2767;334,1290605;313,15;-6498,52314;459,3580133;423,15;-11977,1902;2,56605692;-14829,2479;376,9693477;303,6846362;-1582,11051;354,9594962;293,15;-2720,15015;358,7968426;293,15
16;170;86;0,86099803;117535,142;121,131046;134,2327986;3631,6621;2409,04854;2245,28421;2025,22788;2476,47735;1983,86338;112,192318;0,060239336;22;10,3603055;-1225,83633;335,0475198;303,15;-29069,1343;423,15;294,15;-21906,3499;365,0558052;303,15;-19655,5693;321,6326101;313,15;-2382,63683;367,4492203;293,15;-3342,55127;378,5910558;293,15;-7236,48382;293,15;283,15;-14937,6759;323,5072379;303,15;-41829,9419;334,7725152;313,15;-6498,52314;459,3580133;423,15;-11445,4882;2,566056921;-14170,9348;376,9693477;303,6846362;-1511,87606;354,9594962;293,15;-2600,01774;358,808935;293,15
16;170;82;0,820246338;110585,762;121,148653;129,5654268;3631,6621;2295,00515;2138,99307;1929,35673;2359,20504;1889,91855;106,910389;0,056983806;22;10,2087405;-1234,11377;335,2751492;303,15;-29069,1343;423,15;294,15;-20375,2044;364,6408814;303,15;-17250,9676;321,0864271;313,15;-2269,84394;367,4491748;293,15;-3184,32044;378,5910058;293,15;-7236,48382;293,15;283,15;-14937,6759;323,5072379;303,15;-42960,8061;335,0042534;313,15;-6498,52314;459,3580133;423,15;-10903,493;2,566056922;-13499,8775;376,9693477;303,6846362;-1440,28195;354,9594962;293,15;-2477,3034;358,8167276;293,15
16;170;78;0,780731563;104472,462;121,16214;125,6013334;3631,6621;2184,41889;2035,92417;1836,38644;2245,50841;1798,83813;101,773292;0,053037449;22;10,066914;-1230,23826;335,1946324;303,15;-29069,1343;423,15;294,15;-19122,3428;364,3955973;303,15;-15352,3129;320,6382935;313,15;-2160,47056;367,4491548;293,15;-3030,88315;378,5909834;293,15;-7236,48382;293,15;283,15;-14937,6759;323,5072379;303,15;-43035,7129;334,9274968;313,15;-6498,52314;459,3580133;423,15;-10378,0234;2,566056914;-12849,281;376,9693477;303,6846362;-1370,87077;354,9594962;293,15;-2358,1713;358,8223144;293,15
16;140;94;0,941246873;112530,899;121,05827;122,2856971;2990,78056;2168,7106;2021,28605;1823,18782;2229,58536;1786,08245;100,843911;0,041363807;22;9,59337359;-1045,50713;330,425722;303,15;-23939,287;423,15;294,15;-22270,4607;367,1176327;303,15;-23936,8974;323,7676717;313,15;-2144,93139;367,4494665;293,15;-3009,06365;378,5913228;293,15;-5958,58485;293,15;283,15;-12299,755;323,5072379;303,15;-22840,8026;330,1020582;313,15;-5351,72494;459,3580133;423,15;-10304,4322;2,566056927;-12758,1658;376,9693477;303,6846362;-1361,14983;354,9594962;293,15;-2339,83874;358,7991474;293,15
16;140;90;0,898620067;102863,646;121,108749;114,8086635;2990,78056;2070,60917;1929,8521;1740,71293;2128,61623;1705,19782;96,3892528;0,050312559;22;9,52627457;-1198,06582;334,2614535;303,15;-23939,287;423,15;294,15;-19514,2791;365,6698589;303,15;-18612,759;322,2860951;313,15;-2047,90723;367,4492901;293,15;-2872,96223;378,5911306;293,15;-5958,58485;293,15;283,15;-12299,755;323,5072379;303,15;-31954,7768;333,9387479;313,15;-5351,72494;459,3580133;423,15;-9837,7851;2,566056927;-12180,3988;376,9693477;303,6846362;-1299,50872;354,9594962;293,15;-2233,85234;358,7855966;293,15
16;140;86;0,860635403;96738,3128;121,131258;110,4982712;2990,78056;1983,08602;1848,27815;1667,13836;2038,58231;1633,0732;92,3546236;0,049587842;22;9,40048963;-1228,78687;335,0454923;303,15;-23939,287;423,15;294,15;-18026,6107;365,049764;303,15;-16167,1144;321,627431;313,15;-1961,34373;367,4492152;293,15;-2751,53023;378,5910521;293,15;-5958,58485;293,15;283,15;-12299,755;323,5072379;303,15;-34317,6237;334,7276932;313,15;-5351,72494;459,3580133;423,15;-9421,67706;2,566056928;-11665,2055;376,9693477;303,6846362;-1244,5435;354,9594962;293,15;-2141,19619;358,8374693;293,15
16;140;82;0,823608953;91559,296;121,147026;107,0255821;2990,78056;1897,75443;1768,74707;1595,39748;1950,85641;1562,79749;88,4028748;0,047144029;22;9,27588076;-1236,21475;335,2460731;303,15;-23939,287;423,15;294,15;-16894,79;364,6886646;303,15;-14378,4456;321,1368216;313,15;-1876,94842;367,4491808;293,15;-2633,13457;378,5910123;293,15;-5958,58485;293,15;283,15;-12299,755;323,5072379;303,15;-35143,8342;334,9323943;313,15;-5351,72494;459,3580133;423,15;-9016,23594;2,56605693;-11163,219;376,9693477;303,6846362;-1190,98731;354,9594962;293,15;-2048,52409;358,8174075;293,15
16;140;78;0,77872824;85790,6347;121,162754;103,2718713;2990,78056;1794,31651;1672,34059;1508,44118;1844,49174;1477,59058;83,5983725;0,043494162;22;9,12901423;-1232,8648;335,1782344;303,15;-23939,287;423,15;294,15;-15699,5412;364,3868679;303,15;-12570,735;320,6171565;313,15;-1774,64458;367,44915;293,15;-2489,61656;378,5909795;293,15;-5958,58485;293,15;283,15;-12299,755;323,5072379;303,15;-35279,8874;334,8689731;313,15;-5351,72494;459,3580133;423,15;-8524,65234;2,566056924;-10554,5775;376,9693477;303,6846362;-1126,05225;354,9594962;293,15;-1938,87617;358,8856096;293,15
16;110;94;0,939783781;88105,516;121,060602;95,8358788;2349,89901;1701,34444;1585,69046;1430,28503;1749,09004;1401,16592;79,1153835;0,032982788;22;8,50510407;-1056,69765;330,658491;303,15;-18809,4398;423,15;294,15;-17403,1151;367,0526842;303,15;-18601,9145;323,6942286;313,15;-1682,68964;367,4494559;293,15;-2360,59877;378,5913115;293,15;-4682,42675;293,15;283,15;-9665,54648;323,5072379;303,15;-18196,0873;330,2576087;313,15;-4204,92673;459,3580133;423,15;-8083,73612;2,566056924;-10008,6685;376,9693477;303,6846362;-1067,81003;354,9594962;293,15;-1836,36546;358,8269569;293,15
16;110;90;0,90722022;82041,8178;121,102314;91,1014037;2349,89901;1642,47209;1530,81927;1380,79268;1688,50596;1352,63306;76,4490166;0,039268217;22;8,46733008;-1187,67826;333,9326183;303,15;-18809,4398;423,15;294,15;-15647,1157;365,8537266;303,15;-15171,3187;322,4736053;313,15;-1624,46358;367,4493067;293,15;-2278,92321;378,5911519;293,15;-4682,42675;293,15;283,15;-9665,54648;323,5072379;303,15;-24241,4648;333,535692;313,15;-4204,92673;459,3580133;423,15;-7803,73584;2,566056924;-9661,99342;376,9693477;303,6846362;-1030,82378;354,9594962;293,15;-1770,75685;358,74106;293,15
16;110;86;0,86147661;76101,2371;121,130882;86,8883874;2349,89901;1559,66274;1453,63867;1311,17387;1603,31343;1284,38679;72,6350788;0,03901471;22;8,33533225;-1231,23767;335,030848;303,15;-18809,4398;423,15;294,15;-14183,3725;365,0567762;303,15;-12734,1573;321,6376184;313,15;-1542,56293;367,4492162;293,15;-2164,03045;378,5910537;293,15;-4682,42675;293,15;283,15;-9665,54648;323,5072379;303,15;-26763,6675;334,6421593;313,15;-4204,92673;459,3580133;423,15;-7410,00314;2,566056923;-9174,50348;376,9693477;303,6846362;-978,814198;354,9594962;293,15;-1683,46063;358,8154866;293,15
16;110;82;0,820048194;71564,8956;121,148388;83,8511526;2349,89901;1484,64551;1383,7209;1248,13298;1526,16856;1222,58737;69,1594978;0,036821185;22;8,21158576;-1239,27508;335,2436469;303,15;-18809,4398;423,15;294,15;-13196,6283;364,661792;303,15;-11175,9833;321,0934433;313,15;-1468,36604;367,4491548;293,15;-2059,951;378,5909967;293,15;-4682,42675;293,15;283,15;-9665,54648;323,5072379;303,15;-27462,3222;334,8603982;313,15;-4204,92673;459,3580133;423,15;-7053,46419;2,566056925;-8733,06401;376,9693477;303,6846362;-931,717674;354,9594962;293,15;-1602,76415;358,8250761;293,15
16;110;78;0,784071306;67938,6928;121,160891;81,4921555;2349,89901;1419,49544;1322,99948;1193,33409;1459,19408;1168,93526;66,1341335;0,034519274;22;8,10737812;-1236,50968;335,1849946;303,15;-18809,4398;423,15;294,15;-12443,7697;364,4202214;303,15;-10039,5323;320,6789604;313,15;-1403,93317;367,4491549;293,15;-1969,55101;378,590984;293,15;-4682,42675;293,15;283,15;-9665,54648;323,5072379;303,15;-27538,477;334,8055687;313,15;-4204,92673;459,3580133;423,15;-6743,92948;2,56605692;-8349,82163;376,9693477;303,6846362;-890,830112;354,9594962;293,15;-1532,41635;358,8229502;293,15
16;80;94;0,939346737;63974,6794;121,061986;69,6111832;1709,01746;1236,76847;1152,69543;1039,72348;1271,47323;1018,55532;57,5134488;0,024221832;22;7,25521877;-1064,24276;330,798405;303,15;-13679,5926;423,15;294,15;-12622,8422;367,0155863;303,15;-13451,7033;323,6541423;313,15;-1223,20788;367,449456;293,15;-1716,00397;378,5913091;293,15;-3405,39785;293,15;283,15;-7029,48137;323,5072379;303,15;-13223,9171;330,2568333;313,15;-3058,12853;459,3580133;423,15;-5876,34363;2,56605693;-7275,64267;376,9693477;303,6846362;-776,227548;354,9594962;293,15;-1334,58316;358,8099672;293,15
16;80;90;0,897003655;58603,9866;121,11009;65,494073;1709,01746;1181,07769;1100,78969;992,903739;1214,15943;972,642218;54,9819672;0,028798755;22;7,19745376;-1205,51791;334,3118617;303,15;-13679,5926;423,15;294,15;-11106,0775;365,631619;303,15;-10556,8351;322,2480393;313,15;-1168,12858;367,4492867;293,15;-1638,74079;378,5911257;293,15;-3405,39785;293,15;283,15;-7029,48137;323,5072379;303,15;-18014,8171;333,7831313;313,15;-3058,12853;459,3580133;423,15;-5611,4575;2,566056919;-6947,68078;376,9693477;303,6846362;-741,23778;354,9594962;293,15;-1274,6187;358,8078759;293,15
16;80;86;0,86266906;55459,2991;121,130119;63,376315;1709,01746;1135,87026;1058,65516;954,900488;1167,67268;935,402483;52,8983284;0,028385425;22;7,11140967;-1232,95613;334,9983331;303,15;-13679,5926;423,15;294,15;-10344,6346;365,082105;303,15;-9306,40205;321,6600901;313,15;-1123,41688;367,4492223;293,15;-1576,01861;378,5910577;293,15;-3405,39785;293,15;283,15;-7029,48137;323,5072379;303,15;-19191,0356;334,4782399;313,15;-3058,12853;459,3580133;423,15;-5396,61058;2,566056922;-6681,67363;376,9693477;303,6846362;-712,85787;354,9594962;293,15;-1225,20173;358,7699613;293,15
